Trial,Leakage_Objective_Minimize,Endurance_Objective_Maximize,RF_Power,Process_Time,RTA_Temperature,Has_RTA,Constraint_OnOff_g1,Constraint_Voltage_g2,Leakage_Current_A_Mean,Leakage_Current_A_Std,Endurance_Cycles_Mean,Endurance_Cycles_Std,On_Off_Ratio_Mean,On_Off_Ratio_Std,Operation_Voltage_V_Mean,Operation_Voltage_V_Std
0,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,3.48139617348689e-05,0.00019475917582341192,34.336176383321366,7.326992869277178,5.055296740963037,124.34238386963226,0.1267574936028326,0.07586495822805092
2,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,3.48139617348689e-05,0.00019475917582341192,34.336176383321366,7.326992869277178,5.055296740963037,124.34238386963226,0.1267574936028326,0.07586495822805092
32,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,3.48139617348689e-05,0.00019475917582341192,34.336176383321366,7.326992869277178,5.055296740963037,124.34238386963226,0.1267574936028326,0.07586495822805092
51,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,3.48139617348689e-05,0.00019475917582341192,34.336176383321366,7.326992869277178,5.055296740963037,124.34238386963226,0.1267574936028326,0.07586495822805092
58,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,3.48139617348689e-05,0.00019475917582341192,34.336176383321366,7.326992869277178,5.055296740963037,124.34238386963226,0.1267574936028326,0.07586495822805092
71,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,3.48139617348689e-05,0.00019475917582341192,34.336176383321366,7.326992869277178,5.055296740963037,124.34238386963226,0.1267574936028326,0.07586495822805092
81,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,3.48139617348689e-05,0.00019475917582341192,34.336176383321366,7.326992869277178,5.055296740963037,124.34238386963226,0.1267574936028326,0.07586495822805092
28,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
29,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
30,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
41,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
60,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
61,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
90,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
91,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,4.1838167006867504e-05,0.004423841415999089,46.38460066289589,9.82791442335093,17.89089835652441,3290.5347274644996,0.17317492889007896,0.07076594860970013
