Trial,State,Leakage_Objective_Minimize,Endurance_Objective_Maximize,RF_Power,Process_Time,RTA_Temperature,Has_RTA,Constraint_OnOff_g1,Constraint_Voltage_g2,Is_Feasible,Penalty_Applied,Leakage_Current_A_Mean,Leakage_Current_A_Std,Leakage_Current_A_CI95_Low,Leakage_Current_A_CI95_High,Endurance_Cycles_Mean,Endurance_Cycles_Std,Endurance_Cycles_CI95_Low,Endurance_Cycles_CI95_High,On_Off_Ratio_Mean,On_Off_Ratio_Std,On_Off_Ratio_CI95_Low,On_Off_Ratio_CI95_High,Operation_Voltage_V_Mean,Operation_Voltage_V_Std,Operation_Voltage_V_CI95_Low,Operation_Voltage_V_CI95_High
0,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
2,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
32,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
51,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
58,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
71,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
81,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
28,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
29,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
30,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
41,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
