Target,CV_Type,N_Predictions,R2_Model_Space,MSE_Model_Space,R2_Original_Scale,MSE_Original_Scale,Status,N
Forming_Voltage_V,LOOCV,16,-0.9426233898049508,1.496711643932242,-0.9426233898049508,1.496711643932242,trained,16
Operation_Voltage_V,LOOCV,17,-0.5369749548503242,0.011202898762602793,-0.5369749548503242,0.011202898762602793,trained,17
Leakage_Current_A,LOOCV,17,-0.44377705685996927,2.9993535339758797,-0.4969844375503494,6.411362185098552e-08,trained,17
On_Off_Ratio,LOOCV,17,-0.2517712084519055,2.9672536574711206,-0.6758974294547042,343859651.53590226,trained,17
Endurance_Cycles,LOOCV,5,-1.4800442171513573,0.15150442603530095,-1.5630300519508622,254.6626659618377,trained,5
